name,ring,quadrant,isNew,description
C/C++,ADOPT,Languages,TRUE,
Dart,ADOPT,Languages,TRUE,
ESNext,ADOPT,Languages,TRUE,
Golang,ADOPT,Languages,TRUE,
GraphQL,ADOPT,Languages,TRUE,
NOSQL,ADOPT,Languages,TRUE,
Typescript,ADOPT,Languages,TRUE,
ZSH,ADOPT,Languages,TRUE,
Elm,HOLD,Languages,FALSE,
Flow,HOLD,Languages,FALSE,
JavaScript,HOLD,Languages,FALSE,
Objective-C,HOLD,Languages,FALSE,
PHP,HOLD,Languages,FALSE,
Scala,HOLD,Languages,FALSE,
Bash,KEEP,Languages,FALSE,
C#,KEEP,Languages,FALSE,
CloudFormation,KEEP,Languages,FALSE,
Groovy,KEEP,Languages,FALSE,
Hyperscan,KEEP,Languages,FALSE,
Java,KEEP,Languages,FALSE,
JSON,KEEP,Languages,FALSE,
Kotlin,KEEP,Languages,FALSE,
MicroPython,KEEP,Languages,FALSE,
mJS,KEEP,Languages,FALSE,
Python,KEEP,Languages,FALSE,
RegEx,KEEP,Languages,FALSE,
Ruby,KEEP,Languages,FALSE,
Shell,KEEP,Languages,FALSE,
SQL,KEEP,Languages,FALSE,
Swift,KEEP,Languages,FALSE,
Yaml,KEEP,Languages,FALSE,
YAML,KEEP,Languages,FALSE,
Clojure,TEST,Languages,TRUE,
Embedded Rust,TEST,Languages,TRUE,
Imba,TEST,Languages,TRUE,
REGO,TEST,Languages,TRUE,
WebAssembly,TEST,Languages,TRUE,
Go,TRIAL,Languages,FALSE,
HashiCorp Configuration Language,TRIAL,Languages,TRUE,
Rust,TRIAL,Languages,FALSE,
.NET 5.0+,ADOPT,Frameworks,TRUE,
ASP.NET Core,ADOPT,Frameworks,TRUE,
Autonome team,ADOPT,Frameworks,TRUE,
AWS API Gateway,ADOPT,Frameworks,TRUE,
AWS CloudFront,ADOPT,Frameworks,TRUE,
AWS DynamoDB,ADOPT,Frameworks,TRUE,
AWS IoT,ADOPT,Frameworks,TRUE,
AWS RDS,ADOPT,Frameworks,TRUE,
Azure IoT Hub,ADOPT,Frameworks,TRUE,
Cypress,ADOPT,Frameworks,TRUE,
Design system,ADOPT,Frameworks,TRUE,
Embedded Linux,ADOPT,Frameworks,TRUE,
Event driven tools (SQS/SNS/EventBridge/Kinesis),ADOPT,Frameworks,TRUE,
"FaaS (Lambda/Google Cloud Functions, Cloud Run)",ADOPT,Frameworks,TRUE,
Flutter,ADOPT,Frameworks,TRUE,
Gatekeeper,ADOPT,Frameworks,TRUE,
Gatsby,ADOPT,Frameworks,TRUE,
GCP IoT Core,ADOPT,Frameworks,TRUE,
Google BigQuery,ADOPT,Frameworks,TRUE,
Google Storage,ADOPT,Frameworks,TRUE,
Hilt,ADOPT,Frameworks,TRUE,
Jest,ADOPT,Frameworks,TRUE,
Jetpack Components,ADOPT,Frameworks,TRUE,
Kubernetes,ADOPT,Frameworks,TRUE,
Material-ui,ADOPT,Frameworks,TRUE,
Mockk,ADOPT,Frameworks,TRUE,
Next,ADOPT,Frameworks,TRUE,
NIST Cybersecurity Framework,ADOPT,Frameworks,TRUE,
react-query,ADOPT,Frameworks,TRUE,
ROS (Robot Operating System),ADOPT,Frameworks,TRUE,
Storybook,ADOPT,Frameworks,TRUE,
SwiftUI,ADOPT,Frameworks,TRUE,
testing-library,ADOPT,Frameworks,TRUE,
UU,ADOPT,Frameworks,TRUE,
Vue,ADOPT,Frameworks,TRUE,
WCAG,ADOPT,Frameworks,TRUE,
Angular,HOLD,Frameworks,TRUE,
Appcelerator,HOLD,Frameworks,TRUE,
AWS ECS,HOLD,Frameworks,TRUE,
AWS Lightsail,HOLD,Frameworks,TRUE,
Dagger2,HOLD,Frameworks,TRUE,
Ionic,HOLD,Frameworks,TRUE,
ISO 27000,HOLD,Frameworks,TRUE,
jQuery,HOLD,Frameworks,TRUE,
PhoneGap,HOLD,Frameworks,TRUE,
